case_number,service_type,opened_date_time,support_plan,account_type,severity,technology_level_1,technology_level_2,technology_level_3,assignment_group,assignment_count,meaningful_comm_count,first_meaningful_comm_duration_mins,all_avg_meaningful_comm_duration_mins,case_origination_source,case_origination_user_type,case_origination_day,case_origination_time,severity_change,age_of_account_days,life_time_invoice_usd,recurring_invoice_usd,case_duration_days,country
cs00018,non technical,6/5/2018,standard,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,330.2664,330.2664,source_10,customer,weekday,non_prime_time,no,,,,519.0120529,unspecified
cs00019,non technical,2/26/2019,standard,subscription,4,level_1_7,level_2_20,level_3_23,group_13,0,1,566.4,566.4,source_10,customer,weekday,prime_time,no,,6256.85,,252.1220066,peru
cs00020,,4/20/2018,free,lite,4,,level_2_24,level_3_64,group_30,1,5,3727.7832,2500.45332,source_1,employee,weekday,prime_time,no,,,,564.3249927,ukraine
cs00021,technical,5/12/2019,basic,payg,4,level_1_3,level_2_7,level_3_137,group_4,0,3,58.6164,39.961,source_3,customer,weekend,prime_time,no,1122.083118,118593.8,3256.49,177.6140552,greece
cs00022,,4/11/2018,premium,subscription,1,,level_2_4,level_3_137,group_14,1,1,44.0664,44.0664,source_11,customer,weekday,prime_time,yes,,0,,573.4877126,canada
cs00023,non technical,4/23/2018,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,2,91948.4664,45974.2332,source_1,employee,weekday,prime_time,no,,0,,561.2419834,spain
cs00024,technical,8/8/2019,basic,payg,4,level_1_5,level_2_8,level_3_43,group_6,0,1,227.6166,227.6166,source_3,customer,weekday,prime_time,no,,29219.81,,89.19468021,italy
cs00025,technical,4/19/2019,free,lite,4,level_1_2,level_2_2,level_3_64,group_3,0,2,94.1496,47.0748,source_3,customer,weekday,prime_time,no,,,,200.4934302,united states of america
cs00026,technical,9/3/2019,free,lite,4,level_1_9,level_2_26,level_3_31,group_9,0,5,16.383,3384.8766,source_3,customer,weekday,prime_time,no,,,,63.36845336,united kingdom
cs00027,non technical,1/29/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,0.0666,12.45,source_5,employee,weekday,prime_time,no,,-0.01,,280.5586617,india
cs00028,non technical,5/2/2019,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,2,3,123.3996,292.2388,source_3,customer,weekday,prime_time,no,979.0831177,-155.11,0,187.7795297,united kingdom
cs00029,non technical,5/10/2018,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,1,2,68821.8828,35825.1081,source_11,customer,weekday,prime_time,no,,,,544.4652705,italy
cs00030,technical,5/25/2018,free,lite,3,level_1_4,level_2_24,level_3_59,group_5,2,7,3371.583,2292.902314,source_1,employee,weekday,prime_time,yes,,,,529.5373885,india
cs00031,technical,4/24/2019,free,lite,4,level_1_6,level_2_15,level_3_137,group_7,0,2,7448.283,3724.9665,source_3,customer,weekday,prime_time,no,,,,195.5556293,turkey
cs00032,non technical,6/17/2019,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,0,2,1039.6662,520.1331,source_10,customer,weekday,prime_time,no,,,,141.5701547,india
cs00033,non technical,12/23/2018,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,0,2,32979.6162,23119.8915,source_3,customer,weekend,prime_time,no,,,,317.1277473,kenya
cs00034,non technical,2/12/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,853.7496,853.7496,source_5,employee,weekday,prime_time,no,,0,,266.143164,united states of america
cs00035,non technical,5/6/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,1264.1832,1264.1832,source_5,employee,weekday,prime_time,no,,2476.65,,183.4733723,brazil
cs00036,technical,3/11/2019,free,lite,4,level_1_2,level_2_12,level_3_136,group_3,1,5,5.5662,156.45324,source_3,customer,weekday,prime_time,no,,,,239.7156177,france
cs00037,technical,6/2/2019,basic,payg,3,level_1_6,level_2_11,level_3_137,group_7,0,8,18.7998,736.281225,source_5,customer,weekend,prime_time,yes,5807.083118,6885,135,156.1996918,united states of america
cs00038,non technical,4/1/2019,standard,subscription,4,level_1_7,level_2_20,level_3_137,group_13,0,6,163.3998,12424.2944,source_3,customer,weekday,prime_time,no,799.0831177,1787.41,0,218.1827936,brazil
cs00039,technical,1/16/2019,free,lite,4,level_1_2,level_2_20,level_3_59,group_3,1,3,3117.2328,2230.511,source_10,customer,weekday,prime_time,no,,,,293.4185459,germany
cs00040,non technical,6/17/2019,free,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,1047.15,524.0499,source_10,customer,weekday,prime_time,no,,,,141.5720529,unspecified
cs00041,technical,2/6/2019,standard,subscription,2,level_1_1,level_2_12,level_3_8,group_2,0,10,203.0496,2134.95666,source_1,customer,weekday,prime_time,no,,0,,272.2372844,united states of america
cs00042,,4/24/2018,standard,subscription,2,,level_2_24,level_3_64,group_30,0,4,267.183,859.2666,source_11,customer,weekday,prime_time,no,,,,560.7320297,japan
cs00043,non technical,4/3/2019,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,2,10903.4328,5452.3416,source_5,customer,weekday,prime_time,no,,300.36,,216.6644256,india
cs00044,technical,8/28/2019,basic,payg,4,level_1_6,level_2_15,level_3_137,group_7,0,1,76.65,76.65,source_3,customer,weekday,non_prime_time,no,1050.083118,33195.57,996.83,69.96371956,japan
cs00045,technical,8/29/2018,free,payg,4,level_1_4,level_2_18,level_3_59,group_5,3,3,14.2164,2650.2388,source_1,employee,weekday,prime_time,no,,0,,433.354414,russian federation
cs00046,technical,6/10/2019,standard,subscription,2,level_1_2,level_2_2,level_3_131,group_3,0,12,14.883,1860.38885,source_3,customer,weekday,non_prime_time,no,,0,,148.9309534,japan
cs00047,,6/15/2018,free,lite,4,,level_2_24,level_3_64,group_30,0,14,12.483,438.9785571,source_11,customer,weekday,prime_time,no,,,,508.4655251,colombia
cs00048,non technical,8/30/2019,basic,payg,4,level_1_7,level_2_11,level_3_137,group_13,0,1,0.0498,0.0498,source_5,employee,weekday,non_prime_time,no,,6044.6,,67.93899734,singapore
cs00049,technical,4/30/2019,basic,subscription,4,level_1_5,level_2_7,level_3_19,group_6,0,3,310.833,1540.5776,source_3,customer,weekday,prime_time,no,801.0831177,0,0,189.2985575,united states of america
cs00050,technical,1/18/2019,free,lite,4,level_1_2,level_2_2,level_3_49,group_3,0,3,30.1998,1853.3222,source_1,customer,weekday,prime_time,no,,,,291.3221455,india
cs00051,technical,9/27/2018,free,lite,4,level_1_1,level_2_4,level_3_125,group_2,1,2,18401.5164,9201.0666,source_1,employee,weekday,prime_time,no,,,,404.168083,united states of america
cs00052,non technical,12/8/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,132.6,132.6,source_1,customer,weekend,non_prime_time,no,,0,,333.0795413,austria
cs00053,non technical,7/10/2019,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,0,2,2060.6496,1030.3248,source_10,customer,weekday,non_prime_time,no,,,,118.8253515,south africa
cs00054,non technical,12/4/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,53088.6162,53088.6162,source_3,customer,weekday,prime_time,no,,0,,336.7532334,japan
cs00055,,8/10/2018,free,lite,4,,level_2_24,level_3_49,group_30,1,9,731.7996,2127.840733,source_1,employee,weekday,non_prime_time,no,,,,452.8456293,united states of america
cs00056,technical,4/29/2019,free,lite,4,level_1_4,level_2_7,level_3_132,group_5,1,5,1089.0996,3957.82332,source_3,customer,weekday,prime_time,no,,,,190.3767867,spain
cs00057,technical,4/10/2019,free,lite,4,level_1_2,level_2_3,level_3_77,group_3,1,3,62.7498,2949.55,source_3,customer,weekday,prime_time,no,,,,209.4366478,south africa
cs00058,non technical,9/26/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,13578.4998,13578.4998,source_3,customer,weekday,prime_time,no,,0,,40.25663623,united states of america
cs00059,technical,7/25/2019,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,0,3,18.3828,1104.8888,source_6,employee,weekday,prime_time,no,2105.083118,474952.67,6093.86,103.7897612,india
cs00060,technical,8/30/2019,basic,payg,4,level_1_8,level_2_20,level_3_107,group_8,1,2,152.9664,2660.9583,source_10,customer,weekday,prime_time,no,,0,,67.18366169,germany
cs00061,technical,8/2/2019,basic,payg,4,level_1_9,level_2_11,level_3_137,group_9,0,2,26.2332,46.7664,source_5,customer,weekday,prime_time,no,1745.083118,302916.42,10701.43,95.54275891,italy
cs00062,technical,7/23/2019,premium,subscription,4,level_1_2,level_2_2,level_3_49,group_3,1,4,167.5164,492.65415,source_3,customer,weekday,prime_time,no,,619.03,,105.6392172,india
cs00063,,5/31/2018,free,lite,4,,level_2_18,level_3_137,group_12,0,3,1016.5998,6520.2444,source_1,employee,weekday,prime_time,no,,,,523.3916015,united states of america
cs00064,non technical,2/21/2019,basic,payg,4,level_1_7,level_2_11,level_3_137,group_13,0,1,0.0828,0.0828,source_5,employee,weekday,prime_time,no,,0,,257.1208723,republic of korea
cs00065,non technical,4/16/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,33.7332,33.7332,source_3,customer,weekday,prime_time,no,4682.083118,9147.8,,203.3718677,united states of america
cs00066,non technical,9/1/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,4179.7998,4179.7998,source_3,customer,weekend,prime_time,no,,0,,65.71550197,united kingdom
cs00067,non technical,4/2/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,2,6,39497.5998,10014.4027,source_5,customer,weekday,non_prime_time,no,4682.083118,153482.03,1167,217.9196339,united states of america
cs00068,technical,11/21/2018,free,lite,4,level_1_1,level_2_18,level_3_8,group_2,0,2,5849.8332,2925.1749,source_11,customer,weekday,prime_time,no,,,,349.2525737,canada
cs00069,technical,2/20/2019,standard,subscription,2,level_1_4,level_2_6,level_3_37,group_5,1,6,6.0996,250.8416,source_1,customer,weekday,prime_time,yes,,12977.37,,258.6215552,netherlands
cs00070,technical,1/11/2019,free,lite,4,level_1_1,level_2_12,level_3_8,group_2,0,5,348.4998,70.9266,source_1,customer,weekday,prime_time,no,,,,298.4616015,canada
cs00071,technical,10/8/2018,standard,subscription,2,level_1_2,level_2_24,level_3_49,group_3,0,17,5.1162,1361.086271,source_1,employee,weekday,prime_time,yes,,,,393.5278631,brazil
cs00072,,7/16/2018,standard,subscription,1,,level_2_24,level_3_78,group_12,0,6,11.133,4387.4083,source_11,customer,weekday,prime_time,no,1129.083118,111629.47,742.8,477.5411848,brazil
cs00073,non technical,3/14/2018,basic,lite,4,level_1_7,level_2_20,level_3_23,group_13,0,1,222095.9496,222095.9496,source_11,customer,weekday,prime_time,no,,,,601.5923422,united states of america
cs00074,non technical,11/9/2017,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,,0,0,source_11,customer,weekday,prime_time,no,,0,,726.2228052,greece
cs00075,technical,10/30/2018,free,lite,4,level_1_2,level_2_24,level_3_49,group_3,0,6,5.55,55.6972,source_1,employee,weekday,prime_time,no,,,,371.6842404,germany
cs00076,technical,9/13/2018,free,lite,4,level_1_2,level_2_24,level_3_64,group_3,1,5,1367.8164,2033.4366,source_1,employee,weekday,prime_time,no,,,,418.4148538,united kingdom
cs00077,technical,4/9/2019,basic,payg,4,level_1_6,level_2_11,level_3_137,group_7,0,1,135.2328,135.2328,source_5,customer,weekday,non_prime_time,no,2402.083118,32418.45,,210.8688353,united states of america
cs00078,non technical,10/25/2018,free,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,216.6498,216.6498,source_10,customer,weekday,prime_time,no,,,,376.7560228,unspecified
cs00079,technical,7/19/2019,free,lite,4,level_1_5,level_2_6,level_3_137,group_6,0,2,476.0496,3372.4248,source_3,customer,weekday,non_prime_time,no,,,,110.024495,colombia
cs00080,non technical,7/13/2018,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,5,90796.9164,33266.33664,source_11,customer,weekday,prime_time,no,,0,,480.2479094,united states of america
cs00081,technical,5/30/2019,basic,payg,4,level_1_3,level_2_7,level_3_137,group_4,0,2,226.95,169.9914,source_3,customer,weekday,non_prime_time,no,1100.083118,406406.62,15183.25,160.007076,japan
cs00082,technical,10/15/2019,basic,payg,4,level_1_3,level_2_7,level_3_137,group_4,1,1,21.4164,21.4164,source_3,customer,weekday,prime_time,no,993.0831177,16185.78,728.4,21.15552511,united states of america
cs00083,technical,7/11/2019,basic,payg,4,level_1_5,level_2_7,level_3_19,group_6,0,1,23.8332,23.8332,source_3,customer,weekday,prime_time,no,,0,,117.3629788,united states of america
cs00084,,4/27/2018,basic,payg,4,,level_2_24,level_3_79,group_12,0,1,2262.3666,2262.3666,source_11,customer,weekday,prime_time,no,,1316.04,,557.7042172,india
cs00085,,10/15/2018,basic,payg,4,,level_2_11,level_3_137,group_12,0,2,822.7998,7116.3165,source_5,employee,weekday,non_prime_time,no,,2692.45,,386.8977936,australia
cs00086,non technical,6/5/2018,standard,payg,2,level_1_7,level_2_20,level_3_23,group_13,1,2,14221.4664,7357.3749,source_10,customer,weekday,prime_time,no,,,,518.5371571,unspecified
cs00087,technical,8/28/2019,basic,payg,4,level_1_8,level_2_22,level_3_137,group_8,0,3,2467.2996,830.3444,source_3,customer,weekday,prime_time,no,,0,,69.4909765,germany
cs00088,non technical,10/20/2018,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,1,1,1490.0832,1490.0832,source_11,customer,weekend,non_prime_time,no,,,,381.8701547,india
cs00089,technical,5/20/2019,free,payg,4,level_1_5,level_2_6,level_3_19,group_6,0,1,106.2498,106.2498,source_3,customer,weekday,prime_time,no,,0,,169.2116941,other non-specified areas
cs00090,non technical,1/22/2018,standard,subscription,4,level_1_7,level_2_20,level_3_137,group_13,0,9,1597.4664,11511.44813,source_11,customer,weekday,prime_time,no,,1055.73,,652.7088584,france
cs00091,technical,9/11/2019,basic,payg,2,level_1_3,level_2_7,level_3_137,group_4,0,14,74.7498,195.6642857,source_3,customer,weekday,prime_time,yes,,22511.73,,55.74204132,united states of america
cs00092,technical,8/18/2019,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,0,9,62.55,39.28333333,source_5,customer,weekend,prime_time,no,1545.083118,716406.5,15830.92,79.77132373,saudi arabia
cs00093,technical,9/23/2018,standard,subscription,2,level_1_1,level_2_24,level_3_8,group_2,0,4,1402.2996,372.04995,source_11,customer,weekend,prime_time,no,,6256.85,,408.5951779,peru
cs00094,non technical,3/20/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,1087.4166,1087.4166,source_5,customer,weekday,prime_time,no,,16.76,,230.5858492,belgium
cs00095,non technical,6/4/2018,standard,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,1,568.2498,568.2498,source_10,customer,weekday,prime_time,no,,,,519.4871686,unspecified
cs00096,technical,10/4/2019,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,0,2,234.5328,121.05,source_5,employee,weekday,prime_time,no,2858.083118,210124.86,7548.33,32.6726316,india
cs00097,technical,11/25/2018,basic,payg,4,level_1_5,level_2_18,level_3_23,group_6,3,7,1768.683,465.6071143,source_1,employee,weekend,non_prime_time,no,,,,345.8728978,united arab emirates
cs00098,non technical,7/5/2018,free,payg,4,level_1_7,level_2_20,level_3_23,group_13,1,1,858.3996,858.3996,source_10,customer,weekday,prime_time,no,,,,488.4257797,unspecified
cs00099,non technical,8/30/2019,basic,payg,4,level_1_7,level_2_11,level_3_137,group_13,0,1,0.0498,0.0498,source_5,employee,weekday,prime_time,no,,58.61,,67.70893947,singapore
cs000100,,2/7/2018,premium,subscription,2,,level_2_24,level_3_11,group_12,0,3,152.85,2450.1776,source_1,employee,weekday,prime_time,no,,0,,636.3213584,united states of america
cs000101,non technical,7/27/2018,free,lite,4,level_1_7,level_2_20,level_3_137,group_13,3,4,6957.033,4291.95405,source_11,customer,weekday,prime_time,no,,,,466.4425853,united states of america
cs000102,non technical,8/27/2018,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,1,2,22324.0164,11162.0082,source_11,customer,weekday,prime_time,no,,,,435.4038237,united states of america
cs000103,non technical,7/1/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,814.3332,814.3332,source_10,customer,weekday,prime_time,no,,0,,127.4024464,united states of america
cs000104,technical,1/3/2019,standard,subscription,1,level_1_4,level_2_9,level_3_137,group_5,0,3,21.7332,20.8,source_3,customer,weekday,prime_time,no,,0,,306.3337427,united states of america
cs000105,non technical,3/2/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,294.8328,1386.9498,source_1,customer,weekend,prime_time,no,,5492.23,,248.2401432,united states of america
cs000106,non technical,1/20/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,2,12769.0998,6385.9332,source_5,employee,weekend,prime_time,no,,571.66,,289.1574696,brazil
cs000107,non technical,2/7/2019,basic,subscription,4,level_1_7,level_2_20,level_3_137,group_13,0,3,7230.15,2870.6332,source_1,customer,weekday,non_prime_time,no,,883.81,,271.8836733,japan
cs000108,technical,9/23/2019,basic,payg,4,level_1_4,level_2_12,level_3_50,group_5,0,2,37.4664,798.3666,source_3,customer,weekday,prime_time,no,,1799.44,,43.31150891,canada
cs000109,technical,7/9/2019,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,0,3,49.6662,23.0888,source_5,customer,weekday,prime_time,no,5594.083118,19323.54,359,119.6700622,united states of america
cs000110,technical,7/25/2019,standard,subscription,2,level_1_1,level_2_6,level_3_47,group_2,0,3,10.8828,458.2388,source_3,customer,weekday,prime_time,no,798.0831177,725.05,0,103.2464279,united states of america
cs000111,technical,5/28/2019,basic,payg,3,level_1_8,level_2_11,level_3_137,group_8,0,1,6291.1998,6291.1998,source_5,customer,weekday,prime_time,yes,2724.083118,1353943.08,58832.33,161.1029904,united states of america
cs000112,technical,12/12/2018,basic,payg,4,level_1_3,level_2_11,level_3_137,group_4,0,1,105.9666,105.9666,source_5,employee,weekday,prime_time,no,5462.083118,4284,84,328.3775737,united states of america
cs000113,technical,10/8/2018,basic,payg,4,level_1_5,level_2_24,level_3_79,group_6,1,1,43995.3162,43995.3162,source_1,employee,weekday,prime_time,no,,0,,393.4218677,switzerland
cs000114,technical,10/25/2018,basic,payg,4,level_1_2,level_2_4,level_3_109,group_3,0,2,34.0332,56.8665,source_11,customer,weekday,prime_time,no,,0,,376.3121455,united states of america
cs000115,non technical,9/5/2018,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,1,3,1176.2832,6021.9666,source_1,employee,weekday,prime_time,no,,,,426.3070529,united states of america
cs000116,non technical,6/8/2018,standard,subscription,4,level_1_7,level_2_20,level_3_23,group_13,0,2,85042.383,42522.6582,source_10,customer,weekday,prime_time,no,800.0831177,61891.64,3133.16,515.7904209,greece
cs000117,technical,8/21/2019,free,lite,4,level_1_2,level_2_20,level_3_49,group_3,1,2,1234.6662,884.5581,source_3,customer,weekday,non_prime_time,no,,,,76.92053669,india
cs000118,technical,8/15/2018,basic,payg,2,level_1_4,level_2_24,level_3_145,group_5,2,5,7.35,437.15664,source_11,employee,weekday,prime_time,no,,,,447.3320066,unspecified
cs000119,non technical,3/21/2019,free,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,608.4996,608.4996,source_5,employee,weekday,prime_time,no,,3070.74,,229.1936385,united states of america
cs000120,non technical,3/21/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,1,490.533,490.533,source_3,customer,weekday,prime_time,no,,0,,229.3847844,brazil
cs000121,technical,4/12/2019,free,lite,4,level_1_5,level_2_6,level_3_137,group_6,0,2,3709.95,4030.6164,source_1,customer,weekday,prime_time,no,,,,207.4571571,india
cs000122,non technical,1/12/2019,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,0,1,2776.6332,2776.6332,source_1,customer,weekend,prime_time,no,,,,297.575039,india
cs000123,technical,1/24/2019,free,lite,4,level_1_4,level_2_4,level_3_62,group_5,1,2,775.7496,2683.5498,source_1,customer,weekday,prime_time,no,,,,285.2354557,romania
cs000124,non technical,4/13/2019,basic,lite,4,level_1_7,level_2_20,level_3_23,group_13,0,1,16005.9996,16005.9996,source_3,customer,weekend,prime_time,no,,,,206.4251895,united arab emirates
cs000125,technical,8/3/2018,free,lite,4,level_1_9,level_2_4,level_3_27,group_9,1,2,56645.2164,32554.4748,source_11,customer,weekday,prime_time,no,,,,459.1965552,united states of america
cs000126,non technical,1/30/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,1,7,120.0162,2672.0214,source_5,customer,weekday,prime_time,no,3143.083118,5127.52,,279.6491478,brazil
cs000127,technical,10/9/2018,premium,payg,3,level_1_4,level_2_24,level_3_39,group_5,0,,0,0,source_11,customer,weekday,prime_time,no,,42.25,,392.1583029,united states of america
cs000128,,10/23/2018,standard,subscription,2,,level_2_24,level_3_137,group_12,0,2,373.9998,1087.5333,source_1,employee,weekday,prime_time,no,,,,378.7871455,japan
cs000129,,1/8/2018,free,lite,4,,level_2_24,level_3_28,group_12,0,3,276354.6666,92188.5054,source_11,customer,weekday,prime_time,no,,,,666.535502,south africa
cs000130,technical,9/19/2019,free,lite,4,level_1_2,level_2_2,level_3_111,group_3,0,4,22.1166,465.68745,source_3,customer,weekday,non_prime_time,no,,,,47.96933299,united states of america
cs000131,technical,5/25/2019,basic,payg,4,level_1_6,level_2_11,level_3_137,group_7,0,2,132.483,99.3831,source_5,customer,weekend,prime_time,no,2795.083118,1162477.37,43827.12,164.289252,united states of america
cs000132,,6/28/2018,free,lite,4,,level_2_24,level_3_131,group_30,0,26,97.9662,3942.680123,source_11,customer,weekday,prime_time,no,,,,495.5278399,japan
cs000133,technical,10/7/2019,basic,payg,4,level_1_3,level_2_7,level_3_137,group_4,0,1,377.7666,377.7666,source_3,customer,weekday,prime_time,no,3733.083118,45900,900,29.141914,united states of america
cs000134,non technical,2/21/2019,basic,payg,4,level_1_7,level_2_20,level_3_137,group_13,0,3,1608.75,865.6222,source_3,customer,weekday,prime_time,no,2367.083118,7584.38,,257.1584649,australia
cs000135,non technical,11/5/2018,free,lite,4,level_1_7,level_2_20,level_3_23,group_13,0,1,620.4666,620.4666,source_1,employee,weekday,prime_time,no,,,,365.5263122,germany
cs000136,technical,9/20/2019,free,lite,4,level_1_4,level_2_9,level_3_51,group_5,0,2,11.9328,6.3582,source_3,customer,weekday,prime_time,no,,,,46.47216863,united states of america
cs000137,technical,10/29/2018,free,lite,4,level_1_4,level_2_24,level_3_51,group_5,0,1,5.733,5.733,source_11,customer,weekday,prime_time,no,,,,372.2065668,costa rica
cs000138,technical,10/15/2019,free,lite,4,level_1_5,level_2_24,level_3_44,group_6,0,2,93.6498,4355.0664,source_3,customer,weekday,prime_time,no,,,,21.50705289,india
cs000139,non technical,5/9/2019,standard,subscription,4,level_1_7,level_2_20,level_3_137,group_13,0,2,396.783,660.2748,source_10,customer,weekday,prime_time,no,930.0831177,1314.01,0,180.7379094,malaysia
cs000140,,1/8/2018,premium,subscription,3,,level_2_18,level_3_79,group_12,0,4,100.6164,760.81245,source_11,customer,weekday,prime_time,no,,0,,666.189576,canada
cs000141,non technical,2/8/2018,standard,lite,3,level_1_7,level_2_20,level_3_137,group_13,0,2,86867.1498,43433.5749,source_11,customer,weekday,prime_time,no,,,,635.5725506,spain
cs000142,technical,5/25/2019,basic,payg,4,level_1_2,level_2_2,level_3_135,group_3,1,2,78.2496,82.9083,source_3,customer,weekend,non_prime_time,no,,0,,164.8994719,japan
cs000143,technical,10/15/2018,standard,subscription,3,level_1_1,level_2_24,level_3_46,group_2,0,9,110.7162,2434.161067,source_11,customer,weekday,non_prime_time,no,,,,387.0149464,japan
cs000144,non technical,1/16/2019,basic,payg,4,level_1_7,level_2_20,level_3_23,group_13,0,5,4208.3496,3264.7566,source_10,customer,weekday,prime_time,no,,0,,293.4195876,finland
cs000145,technical,3/14/2019,free,lite,4,level_1_2,level_2_2,level_3_59,group_3,0,3,84.7332,514.2722,source_3,customer,weekday,prime_time,no,,,,236.7853631,netherlands
cs000146,technical,6/12/2019,standard,subscription,2,level_1_2,level_2_2,level_3_49,group_3,0,8,39.7332,1290.54375,source_3,customer,weekday,prime_time,no,,0,,146.754333,united states of america
