case_id,likelihood_to_recommend,ticket_open_date,support_plan,account_type,sr_severity,technology_level_1,technology_level_2,technology_level_3,assignment_count,meaningful_comm_count,first_meaningful_comm_duration_mins,all_avg_meaningful_comm_duration_mins,case_origination_source,case_origination_user_type,dayofweek,timewindow,severity_change,age_of_account_days,life_time_spend_usd,monthly_recurring_revenue_usd,ticket_duration_days,tribe_level_1,tribe_level_2,catalog_name,sentiment_overall,anger_overall,disgust_overall,fear_overall,joy_overall,sadness_overall,sentiment_last3_conversation,anger_sentiment_last3,disgust_sentiment_last3,fear_sentiment_last3,joy_sentiment_last3,sadness_sentiment_last3,sentiment_last_conversation,anger_last_conversation,disgust_last_conversation,fear_last_conversation,joy_last_conversation,sadness_last_conversation,sentiment_short_description,anger_short_description,disgust_short_description,fear_short_description,joy_short_description,sadness_short_description,sentiment_description,anger_description,disgust_description,fear_description,joy_description,sadness_description,country,geography,region
cs0000011,0,11/25/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,3,376,321,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,0,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000012,0,11/24/2019,support_tier_2,account_type_1,4,technical,assignment_group_2,technology_level_3_20,1,3,924,1208,case_origination_source_1,case_origination_user_type_1,weekend,non_prime_time,no,,,,15,tribe_level_1_4,tribe_level_2_2,catalog_level_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philippines,as,asean
cs0000013,0,11/23/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,1507,1507,case_origination_source_1,case_origination_user_type_1,weekend,prime_time,no,,0,,16,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,russian federation,ep,central and eastern europe
cs0000014,0,11/23/2019,support_tier_2,account_type_1,4,technical,assignment_group_4,technology_level_3_7,1,4,2653,1382,case_origination_source_1,case_origination_user_type_1,weekend,non_prime_time,no,,,,16,tribe_level_1_7,tribe_level_2_4,catalog_level_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,germany,ep,"dach germany,austria,switz"
cs0000015,0,11/22/2019,support_tier_1,account_type_2,4,technical,assignment_group_7,technology_level_3_2,0,2,1025,981,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,3908,8698,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mexico,la,latin america
cs0000016,0,11/22/2019,support_tier_1,account_type_2,4,technical,assignment_group_5,technology_level_3_133,0,6,119,2323,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,16155,,17,tribe_level_1_6,tribe_level_2_3,catalog_level_96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,france,ep,france
cs0000017,0,11/22/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,2,0,2047,case_origination_source_2,case_origination_user_type_2,weekday,non_prime_time,no,2217,35640,732,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000018,1,11/21/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,1,4,0,145,case_origination_source_2,case_origination_user_type_2,weekday,prime_time,no,4318,30651,771,18,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guatemala,la,latin america
cs0000019,0,11/21/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,4,4810,4094,case_origination_source_2,case_origination_user_type_2,weekday,prime_time,no,1875,9844,171,18,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slovakia,ep,central and eastern europe
cs0000020,0,11/21/2019,support_tier_4,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,1264,1264,case_origination_source_3,case_origination_user_type_1,weekday,prime_time,no,,,,18,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000021,0,11/20/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,1,310,310,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,1890,113499,3798,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000022,1,11/20/2019,support_tier_1,account_type_3,4,technical,assignment_group_2,technology_level_3_3,1,5,363,1443,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,0,,19,tribe_level_1_2,tribe_level_2_3,catalog_level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brazil,la,latin america
cs0000023,0,11/20/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,6,598,1048,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,4716,32078,606,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000024,0,11/20/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,18,18,case_origination_source_6,case_origination_user_type_2,weekday,prime_time,no,964,0,0,19,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000025,0,11/20/2019,support_tier_3,account_type_3,3,technical,assignment_group_6,technology_level_3_12,0,2,107,644,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,0,,19,tribe_level_1_11,tribe_level_2_5,catalog_level_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united kingdom,ep,uk and ireland
cs0000026,0,11/20/2019,support_tier_2,account_type_1,4,technical,assignment_group_2,technology_level_3_4,1,1,594,594,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,,,19,tribe_level_1_3,tribe_level_2_2,catalog_level_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000027,0,11/20/2019,support_tier_4,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,3,4095,6983,case_origination_source_3,case_origination_user_type_1,weekday,non_prime_time,no,,,,19,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000028,1,11/20/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,5,475,1831,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,1818,290500,15647,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan,jn,japan
cs0000029,0,11/19/2019,support_tier_2,account_type_1,4,customer support,assignment_group_1,technology_level_3_1,0,2,12,6,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,,,20,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sweden,ep,nordic
cs0000030,1,11/19/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,1,2,0,284,case_origination_source_2,case_origination_user_type_2,weekday,prime_time,no,2602,312295,6983,20,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000031,0,11/19/2019,support_tier_1,account_type_2,4,technical,assignment_group_8,technology_level_3_2,1,1,1221,1221,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000032,1,11/19/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,2,0,3728,case_origination_source_2,case_origination_user_type_2,weekday,non_prime_time,no,,-25,,20,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,singapore,as,asean
cs0000033,1,11/18/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,3,127,484,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,0,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000034,0,11/18/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,2,0,1,case_origination_source_2,case_origination_user_type_2,weekday,prime_time,no,,0,,21,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000035,0,11/18/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_138,1,6,9,4234,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,26033,,21,tribe_level_1_33,tribe_level_2_6,catalog_level_95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brazil,la,latin america
cs0000036,0,11/18/2019,support_tier_1,account_type_3,4,technical,assignment_group_3,technology_level_3_2,0,2,637,354,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,1847,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finland,ep,nordic
cs0000037,1,11/18/2019,support_tier_1,account_type_2,4,technical,assignment_group_2,technology_level_3_3,0,6,101,539,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,0,,21,tribe_level_1_2,tribe_level_2_3,catalog_level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000038,1,11/17/2019,support_tier_4,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,1852,1852,case_origination_source_3,case_origination_user_type_1,weekend,prime_time,no,,,,22,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000039,1,11/16/2019,support_tier_2,account_type_1,4,technical,assignment_group_2,technology_level_3_17,0,3,376,597,case_origination_source_1,case_origination_user_type_1,weekend,prime_time,no,,,,23,tribe_level_1_8,tribe_level_2_2,catalog_level_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,libya,ea,middle east and africa
cs0000040,0,11/16/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_132,1,18,78,172,case_origination_source_1,case_origination_user_type_1,weekend,prime_time,no,5500,8933,216,23,tribe_level_1_24,tribe_level_2_6,catalog_level_106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000041,1,11/15/2019,support_tier_4,account_type_3,3,technical,assignment_group_2,technology_level_3_4,0,3,44,1512,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,yes,,0,,24,tribe_level_1_3,tribe_level_2_2,catalog_level_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000042,0,11/14/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,1,6,0,1744,case_origination_source_2,case_origination_user_type_2,weekday,non_prime_time,no,,484,,25,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,argentina,la,latin america
cs0000043,0,11/14/2019,support_tier_4,account_type_2,4,customer support,assignment_group_1,technology_level_3_113,0,1,950,950,case_origination_source_3,case_origination_user_type_1,weekday,non_prime_time,no,,,,25,tribe_level_1_16,tribe_level_2_5,catalog_level_112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000044,0,11/14/2019,support_tier_2,account_type_1,4,technical,assignment_group_2,technology_level_3_4,0,2,16,8,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,,,25,tribe_level_1_3,tribe_level_2_2,catalog_level_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000045,0,11/14/2019,support_tier_3,account_type_3,3,technical,assignment_group_2,technology_level_3_4,0,6,12,1491,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,835,0,0,25,tribe_level_1_3,tribe_level_2_2,catalog_level_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000046,0,11/14/2019,support_tier_3,account_type_3,4,customer support,assignment_group_1,technology_level_3_1,4,12,0,2259,case_origination_source_2,case_origination_user_type_2,weekday,prime_time,no,,616106,,25,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan,jn,japan
cs0000047,1,11/14/2019,support_tier_2,account_type_1,4,technical,assignment_group_5,technology_level_3_22,2,7,35,249,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,,,25,tribe_level_1_6,tribe_level_2_3,catalog_level_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spain,ep,spgi
cs0000048,0,11/14/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,6,53,209,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,1239,96736,2118,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colombia,la,latin america
cs0000049,0,11/14/2019,support_tier_1,account_type_2,4,technical,assignment_group_5,technology_level_3_9,0,1,92,92,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,0,,25,tribe_level_1_5,tribe_level_2_5,catalog_level_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,italy,ep,italy
cs0000050,1,11/14/2019,support_tier_4,account_type_3,4,technical,assignment_group_2,technology_level_3_19,0,2,60,535,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,0,,25,tribe_level_1_2,tribe_level_2_3,catalog_level_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,la,latin america
cs0000051,0,11/14/2019,support_tier_4,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,1544,1544,case_origination_source_3,case_origination_user_type_1,weekday,prime_time,no,,,,25,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000052,0,11/14/2019,support_tier_2,account_type_1,4,technical,assignment_group_6,technology_level_3_100,2,1,1313,1313,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,,,25,tribe_level_1_29,tribe_level_2_4,catalog_level_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,india,as,india-south asia
cs0000053,1,11/14/2019,support_tier_1,account_type_2,4,technical,assignment_group_10,technology_level_3_2,0,4,90,574,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,317821,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000054,1,11/14/2019,support_tier_4,account_type_3,3,technical,assignment_group_4,technology_level_3_45,1,4,110,318,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,834,13314,48,25,tribe_level_1_7,tribe_level_2_4,catalog_level_34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,germany,ep,"dach germany,austria,switz"
cs0000055,1,11/14/2019,support_tier_2,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,1066,1066,case_origination_source_3,case_origination_user_type_1,weekday,prime_time,no,,,,25,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000057,0,11/14/2019,support_tier_2,account_type_1,4,technical,assignment_group_2,technology_level_3_23,1,2,2204,1102,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,,,25,tribe_level_1_4,tribe_level_2_2,catalog_level_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,india,as,india-south asia
cs0000058,0,11/14/2019,support_tier_1,account_type_2,3,technical,assignment_group_3,technology_level_3_2,0,3,0,21,case_origination_source_2,case_origination_user_type_2,weekday,non_prime_time,no,4390,3570,58,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canada,am,canada
cs0000059,0,11/13/2019,support_tier_2,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,2,3756,3312,case_origination_source_3,case_origination_user_type_1,weekday,prime_time,no,,,,26,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000060,1,11/13/2019,support_tier_4,account_type_3,2,technical,assignment_group_9,technology_level_3_2,3,6,17,1136,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,yes,,0,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000061,0,11/13/2019,support_tier_4,account_type_2,4,technical,assignment_group_4,technology_level_3_120,0,6,42,1701,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,1288,33196,200,26,tribe_level_1_43,tribe_level_2_1,catalog_level_88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000062,1,11/13/2019,support_tier_1,account_type_2,4,technical,assignment_group_2,technology_level_3_43,0,6,451,1248,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,962,1331,0,26,tribe_level_1_8,tribe_level_2_2,catalog_level_32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000063,0,11/13/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_2,6,7,0,1400,case_origination_source_2,case_origination_user_type_2,weekday,non_prime_time,no,,0,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canada,am,canada
cs0000064,1,11/12/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,4,622,861,case_origination_source_3,case_origination_user_type_1,weekday,non_prime_time,no,,,,27,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000065,0,11/12/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,975,975,case_origination_source_3,case_origination_user_type_1,weekday,non_prime_time,no,,,,27,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000066,0,11/12/2019,support_tier_1,account_type_2,4,technical,assignment_group_8,technology_level_3_18,0,8,39,1131,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,0,,27,tribe_level_1_12,tribe_level_2_6,catalog_level_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,italy,ep,italy
cs0000067,1,11/12/2019,support_tier_1,account_type_2,4,technical,assignment_group_2,technology_level_3_19,1,5,9,1472,case_origination_source_3,case_origination_user_type_1,weekday,prime_time,no,,,,27,tribe_level_1_2,tribe_level_2_3,catalog_level_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000068,1,11/12/2019,support_tier_2,account_type_1,4,customer support,assignment_group_1,technology_level_3_1,0,1,130,130,case_origination_source_3,case_origination_user_type_1,weekday,non_prime_time,no,,,,27,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"china, hong kong sar",cg,greater china
cs0000069,0,11/12/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,1,122,122,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,2193733,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan,jn,japan
cs0000070,0,11/11/2019,support_tier_3,account_type_2,1,technical,assignment_group_8,technology_level_3_2,1,5,25,211,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,1998,5732020,212680,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brazil,la,latin america
cs0000071,0,11/11/2019,support_tier_4,account_type_3,3,technical,assignment_group_2,technology_level_3_4,0,6,7,728,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,1128,4555,0,28,tribe_level_1_3,tribe_level_2_2,catalog_level_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chile,la,latin america
cs0000072,1,11/11/2019,support_tier_4,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,1054,1054,case_origination_source_3,case_origination_user_type_1,weekday,prime_time,no,,,,28,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000073,0,11/11/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,1,9,9,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,457,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,israel,ep,spgi
cs0000074,0,11/11/2019,support_tier_1,account_type_3,4,technical,assignment_group_2,technology_level_3_11,0,4,6,333,case_origination_source_1,case_origination_user_type_1,weekday,non_prime_time,no,,0,,29,tribe_level_1_4,tribe_level_2_2,catalog_level_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan,jn,japan
cs0000075,1,11/10/2019,support_tier_4,account_type_2,4,customer support,assignment_group_1,technology_level_3_2,0,1,969,969,case_origination_source_3,case_origination_user_type_1,weekend,prime_time,no,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000076,0,11/10/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,2,2,2,case_origination_source_6,case_origination_user_type_2,weekend,prime_time,no,,0,,29,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,france,ep,france
cs0000077,0,11/10/2019,support_tier_1,account_type_2,4,technical,assignment_group_3,technology_level_3_2,0,5,570,173,case_origination_source_1,case_origination_user_type_1,weekend,non_prime_time,no,5611,8921,147,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000078,1,11/9/2019,support_tier_2,account_type_1,4,technical,assignment_group_4,technology_level_3_7,0,4,281,1140,case_origination_source_1,case_origination_user_type_1,weekend,non_prime_time,no,,,,30,tribe_level_1_7,tribe_level_2_4,catalog_level_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new zealand,as,australia-new zealand
cs0000079,0,11/9/2019,support_tier_1,account_type_2,4,technical,assignment_group_2,technology_level_3_25,0,2,5572,4242,case_origination_source_1,case_origination_user_type_1,weekend,non_prime_time,no,,0,,30,tribe_level_1_8,tribe_level_2_2,catalog_level_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000080,1,11/9/2019,support_tier_2,account_type_1,4,technical,assignment_group_2,technology_level_3_20,0,2,98,731,case_origination_source_1,case_origination_user_type_1,weekend,non_prime_time,no,,,,30,tribe_level_1_4,tribe_level_2_2,catalog_level_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,romania,ep,central and eastern europe
cs0000081,1,11/9/2019,support_tier_1,account_type_2,4,customer support,assignment_group_1,technology_level_3_1,0,1,715,715,case_origination_source_1,case_origination_user_type_1,weekend,prime_time,no,,74,,30,tribe_level_1_1,tribe_level_2_1,catalog_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
cs0000082,1,11/9/2019,support_tier_2,account_type_1,4,technical,assignment_group_2,technology_level_3_3,0,3,37,979,case_origination_source_1,case_origination_user_type_1,weekend,prime_time,no,,,,30,tribe_level_1_2,tribe_level_2_3,catalog_level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan,ea,middle east and africa
cs0000083,0,11/8/2019,support_tier_1,account_type_2,4,technical,assignment_group_2,technology_level_3_4,0,4,20,73,case_origination_source_1,case_origination_user_type_1,weekday,prime_time,no,,0,,31,tribe_level_1_3,tribe_level_2_2,catalog_level_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united states of america,am,us
