case_number,sentiment_overall,anger_overall,disgust_overall,fear_overall,joy_overall,sadness_overall,sentiment_conversation_last3,anger_sentiment_last3,disgust_sentiment_last3,fear_sentiment_last3,joy_sentiment_last3,sadness_sentiment_last3,sentiment_conversation_last,anger_conversation_last,disgust_conversation_last,fear_conversation_last,joy_conversation_last,sadness_conversation_last
cs000834,0.425498,0.054325,0.044863,0.072666,0.60035,0.498881,0.773953,0.076062,0.036674,0.049424,0.68791,0.505446,0.969418,0.04135,0.020869,0.008185,0.568319,0.055415
cs0001348,,,,,,,,,,,,,,,,,,
cs0002345,-0.382902,0.112452,0.041768,0.084009,0.433085,0.542102,-0.382902,0.112452,0.041768,0.084009,0.433085,0.542102,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0002547,0.951976,0.001939,0.000464,0.011639,0.02769,0.163469,0.951976,0.001939,0.000464,0.011639,0.02769,0.163469,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001202,0.726399,0.034214,0.04922,0.062661,0.659469,0.574943,0.635302,0.016974,0.004197,0.005732,0.190254,0.008703,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001188,,,,,,,,,,,,,,,,,,
cs0001478,,,,,,,,,,,,,,,,,,
cs0002949,0.865292,0.066186,0.064163,0.018262,0.22526,0.080639,0.865292,0.066186,0.064163,0.018262,0.22526,0.080639,0,0.06177,0.091495,0.050589,0.142279,0.194421
cs0003243,,,,,,,,,,,,,,,,,,
cs0002806,,,,,,,,,,,,,,,,,,
cs0002816,,,,,,,,,,,,,,,,,,
cs000669,0.319236,0.056957,0.026844,0.060331,0.671629,0.50388,0.319236,0.056957,0.026844,0.060331,0.671629,0.50388,0,0.013502,0.004866,0.035384,0.035616,0.069129
cs000943,,,,,,,,,,,,,,,,,,
cs0001148,,,,,,,,,,,,,,,,,,
cs0002932,,,,,,,,,,,,,,,,,,
cs0002534,-0.347677,0.717026,0.031676,0.071541,0.65481,0.537522,-0.347677,0.717026,0.031676,0.071541,0.65481,0.537522,-0.962277,0.259689,0.107831,0.133258,0.01731,0.700455
cs0002358,0.306005,0.06336,0.024878,0.078354,0.517692,0.504913,0.922673,0.05248,0.015496,0.069201,0.598686,0.131878,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001400,,,,,,,,,,,,,,,,,,
cs0001619,,,,,,,,,,,,,,,,,,
cs0001118,,,,,,,,,,,,,,,,,,
cs0001421,0.475718,0.065623,0.035275,0.482789,0.64713,0.54017,0.551545,0.064272,0.03653,0.486496,0.649892,0.514515,0.987005,0.022423,0.012466,0.013756,0.758011,0.084409
cs0001066,,,,,,,,,,,,,,,,,,
cs0001569,-0.587543,0.102957,0.051401,0.159833,0.112182,0.607131,-0.643608,0.099308,0.058161,0.146566,0.158225,0.618367,0.842032,0.067463,0.031292,0.234875,0.11301,0.442464
cs0003000,,,,,,,,,,,,,,,,,,
cs000804,0.669242,0.035164,0.02387,0.038558,0.562302,0.582003,0.801846,0.026431,0.049362,0.055918,0.566931,0.084386,0.947359,0.01627,0.162189,0.026014,0.11429,0.040754
cs0002344,,,,,,,,,,,,,,,,,,
cs0002494,,,,,,,,,,,,,,,,,,
cs0001630,,,,,,,,,,,,,,,,,,
cs000521,,,,,,,,,,,,,,,,,,
cs0001116,-0.293478,0.165486,0.081907,0.085371,0.658883,0.176105,-0.293478,0.165486,0.081907,0.085371,0.658883,0.176105,-0.338707,0.61622,0.080301,0.103624,0.112997,0.146966
cs0001473,,,,,,,,,,,,,,,,,,
cs0003324,0,0.156805,0.106784,0.114392,0.061307,0.287926,0,0.156805,0.106784,0.114392,0.061307,0.287926,0,0.156805,0.106784,0.114392,0.061307,0.287926
cs0001123,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0002523,,,,,,,,,,,,,,,,,,
cs0002350,,,,,,,,,,,,,,,,,,
cs0001827,,,,,,,,,,,,,,,,,,
cs000662,,,,,,,,,,,,,,,,,,
cs0001787,0.759907,0.106461,0.050915,0.060635,0.652588,0.119962,0.741672,0.142598,0.070621,0.025518,0.028215,0.148896,0.671722,0.065456,0.050602,0.024164,0.080366,0.123737
cs0002244,0.64391,0.076131,0.037769,0.565149,0.408025,0.090951,0.663188,0.080336,0.039151,0.569235,0.10057,0.082565,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001218,,,,,,,,,,,,,,,,,,
cs000525,-0.70408,0.154051,0.038405,0.010505,0.051556,0.235973,-0.70408,0.154051,0.038405,0.010505,0.051556,0.235973,-0.70408,0.154051,0.038405,0.010505,0.051556,0.235973
cs0002145,0.996598,0.085988,0.013466,0.034167,0.621997,0.088839,0.996598,0.085988,0.013466,0.034167,0.621997,0.088839,0.996598,0.085988,0.013466,0.034167,0.621997,0.088839
cs0002691,,,,,,,,,,,,,,,,,,
cs000785,-0.668919,0.157223,0.059439,0.125465,0.081335,0.280273,-0.740649,0.131716,0.013282,0.087582,0.027016,0.123269,-0.800719,0.265667,0.057064,0.118387,0.105634,0.390626
cs0002834,,,,,,,,,,,,,,,,,,
cs0001208,,,,,,,,,,,,,,,,,,
cs000138,0.893621,0.050827,0.010162,0.024484,0.446465,0.071332,0.893621,0.050827,0.010162,0.024484,0.446465,0.071332,0.893621,0.050827,0.010162,0.024484,0.446465,0.071332
cs0002794,0.520058,0.054832,0.034419,0.052496,0.509191,0.131215,-0.730518,0.02919,0.019022,0.077918,0.048211,0.096657,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000706,0.713921,0.070325,0.032302,0.062133,0.632831,0.11285,0.798275,0.062768,0.028254,0.066996,0.63662,0.106809,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs00096,-0.931344,0.15864,0.014,0.081936,0.027317,0.347256,-0.931344,0.15864,0.014,0.081936,0.027317,0.347256,-0.931344,0.15864,0.014,0.081936,0.027317,0.347256
cs0002014,0.780682,0.062694,0.016047,0.029469,0.647579,0.043923,0.780682,0.062694,0.016047,0.029469,0.647579,0.043923,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000693,,,,,,,,,,,,,,,,,,
cs0001896,-0.518447,0.091881,0.036268,0.057978,0.088754,0.552038,-0.405992,0.06807,0.024527,0.056918,0.107461,0.518907,0.420238,0.036154,0.02333,0.035337,0.11103,0.099423
cs000184,,,,,,,,,,,,,,,,,,
cs000635,0.540168,0.070093,0.035505,0.028915,0.090115,0.419201,0.540168,0.070093,0.035505,0.028915,0.090115,0.419201,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001358,,,,,,,,,,,,,,,,,,
cs0001330,0.501575,0.051124,0.025416,0.057943,0.5382,0.12782,0.501575,0.051124,0.025416,0.057943,0.5382,0.12782,0.501575,0.051124,0.025416,0.057943,0.5382,0.12782
cs0002258,0.935358,0.118617,0.019761,0.03634,0.072715,0.478564,0.935358,0.118617,0.019761,0.03634,0.072715,0.478564,0.977324,0.094309,0.015429,0.026584,0.43042,0.077773
cs0001496,,,,,,,,,,,,,,,,,,
cs0003354,,,,,,,,,,,,,,,,,,
cs0002845,,,,,,,,,,,,,,,,,,
cs0002249,,,,,,,,,,,,,,,,,,
cs000385,,,,,,,,,,,,,,,,,,
cs0002587,-0.578696,0.14178,0.06074,0.089774,0.077728,0.555725,-0.453104,0.148486,0.055884,0.064037,0.093179,0.591418,0,0.084303,0.00338,0.081386,0.032238,0.024425
cs0001305,,,,,,,,,,,,,,,,,,
cs000483,-0.493648,0.091603,0.044362,0.049919,0.477677,0.206733,-0.493648,0.091603,0.044362,0.049919,0.477677,0.206733,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0002898,,,,,,,,,,,,,,,,,,
cs0001454,-0.417877,0.067807,0.04974,0.082244,0.143281,0.541497,-0.69067,0.060794,0.046633,0.053483,0.498396,0.552739,0,0.06177,0.091495,0.050589,0.142279,0.194421
cs0002332,,,,,,,,,,,,,,,,,,
cs0002622,,,,,,,,,,,,,,,,,,
cs0002674,,,,,,,,,,,,,,,,,,
cs000462,0.621949,0.067661,0.028857,0.044362,0.151789,0.123752,0.515593,0.056116,0.029599,0.043238,0.638078,0.086923,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001566,0.248784,0.099839,0.068079,0.054946,0.103835,0.102422,0.248784,0.099839,0.068079,0.054946,0.103835,0.102422,0,0.085012,0.077597,0.099009,0.070518,0.112433
cs0001665,,,,,,,,,,,,,,,,,,
cs0002630,,,,,,,,,,,,,,,,,,
cs0001900,,,,,,,,,,,,,,,,,,
cs0001657,0,0.076729,0.017674,0.028979,0.020192,0.252573,0,0.076729,0.017674,0.028979,0.020192,0.252573,0,0.076729,0.017674,0.028979,0.020192,0.252573
cs0002284,0.311282,0.118391,0.05359,0.074109,0.136489,0.144201,0.286912,0.128009,0.054809,0.080705,0.152692,0.144923,0.982606,0.200983,0.0159,0.030224,0.201381,0.036747
cs0002657,0.287728,0.552876,0.063669,0.06427,0.547729,0.128301,0.665527,0.103596,0.040131,0.073553,0.06199,0.095383,0.665527,0.07091,0.022805,0.080067,0.021218,0.035281
cs0001038,0.880952,0.147197,0.00953,0.037231,0.052033,0.077916,0.880952,0.147197,0.00953,0.037231,0.052033,0.077916,0.880952,0.147197,0.00953,0.037231,0.052033,0.077916
cs000529,,,,,,,,,,,,,,,,,,
cs0002227,,,,,,,,,,,,,,,,,,
cs000443,,,,,,,,,,,,,,,,,,
cs0001517,,,,,,,,,,,,,,,,,,
cs0002211,,,,,,,,,,,,,,,,,,
cs000623,,,,,,,,,,,,,,,,,,
cs000718,,,,,,,,,,,,,,,,,,
cs0001391,,,,,,,,,,,,,,,,,,
cs000258,,,,,,,,,,,,,,,,,,
cs0001805,,,,,,,,,,,,,,,,,,
cs0001205,0.879257,0.027313,0.06462,0.01858,0.659986,0.054353,0.879257,0.027313,0.06462,0.01858,0.659986,0.054353,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001193,0.796058,0.096182,0.010111,0.110828,0.240162,0.103655,0.796058,0.096182,0.010111,0.110828,0.240162,0.103655,0.796058,0.096182,0.010111,0.110828,0.240162,0.103655
cs0001765,,,,,,,,,,,,,,,,,,
cs0001741,0.311419,0.064937,0.106124,0.069201,0.680558,0.49656,0.425372,0.064468,0.107798,0.065273,0.677909,0.495421,0.736872,0.054869,0.396617,0.076432,0.307371,0.159548
cs0003074,,,,,,,,,,,,,,,,,,
cs000978,0.555741,0.001254,4.00E-06,0.004873,0.028771,0.019424,0.555741,0.001254,4.00E-06,0.004873,0.028771,0.019424,0,0.00133,3.00E-06,0.015912,0.030975,0.016386
cs0002755,0.996194,0.070699,0.010584,0.002704,0.170782,0.076549,0.996194,0.070699,0.010584,0.002704,0.170782,0.076549,0.996194,0.070699,0.010584,0.002704,0.170782,0.076549
cs0002286,,,,,,,,,,,,,,,,,,
cs0001981,,,,,,,,,,,,,,,,,,
cs0002864,,,,,,,,,,,,,,,,,,
cs000133,,,,,,,,,,,,,,,,,,
cs0001885,0.7477,0.064933,0.019931,0.070458,0.594626,0.445547,0.924088,0.012813,0.001929,0.016654,0.34068,0.011391,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000456,0.99694,0.013913,0.001089,0.00468,0.26917,0.009185,0.99694,0.013913,0.001089,0.00468,0.26917,0.009185,0.993713,0.019835,0.00331,0.0042,0.596507,0.022649
cs000705,,,,,,,,,,,,,,,,,,
cs0001734,,,,,,,,,,,,,,,,,,
cs0001745,0.500648,0.106795,0.068365,0.080555,0.126642,0.1356,0.500648,0.106795,0.068365,0.080555,0.126642,0.1356,0.932789,0.086059,0.027631,0.044032,0.254357,0.095158
cs0001557,,,,,,,,,,,,,,,,,,
cs0002069,,,,,,,,,,,,,,,,,,
cs000787,,,,,,,,,,,,,,,,,,
cs0001532,0.492634,0.051745,0.043307,0.053032,0.659266,0.554165,0.492634,0.051745,0.043307,0.053032,0.659266,0.554165,-0.690843,0.043683,0.012293,0.022132,0.021348,0.513377
cs0001711,0.366241,0.060669,0.044761,0.049493,0.113693,0.465288,0.762461,0.047886,0.038586,0.054966,0.109796,0.494072,0,0.008612,0.020861,0.002006,0.052015,0.010591
cs0002872,0.650197,0.030862,0.019794,0.040871,0.664002,0.472041,0.650197,0.030862,0.019794,0.040871,0.664002,0.472041,0,0.015418,0.010887,0.018828,0.174494,0.162305
cs0001152,,,,,,,,,,,,,,,,,,
cs0003229,,,,,,,,,,,,,,,,,,
cs0001033,0.83594,0.02802,0.051475,0.015277,0.145322,0.055941,0.83594,0.02802,0.051475,0.015277,0.145322,0.055941,0,0.126282,0.201791,0.038759,0.041991,0.195502
cs0002658,-0.377191,,,,,,-0.808926,,,,,,0,,,,,
cs000780,,,,,,,,,,,,,,,,,,
cs0002501,0.886012,0.043127,0.018125,0.031716,0.721362,0.088815,0.873139,0.009455,0.002308,0.004684,0.441287,0.00651,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000626,0.240191,0.100754,0.048501,0.118282,0.5454,0.523871,0.598028,0.110566,0.058962,0.111542,0.521891,0.155014,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000373,-0.426632,0.084993,0.047318,0.095687,0.587149,0.5803,0.645939,0.024128,0.01673,0.068559,0.642847,0.212883,0.949637,0.027474,0.015556,0.037142,0.426136,0.056124
cs0001186,0.673238,0.082009,0.049624,0.086292,0.085363,0.143786,0.673238,0.082009,0.049624,0.086292,0.085363,0.143786,0.67633,0.119368,0.054727,0.069369,0.08486,0.284817
cs0002087,,,,,,,,,,,,,,,,,,
cs000502,,,,,,,,,,,,,,,,,,
cs0002342,,,,,,,,,,,,,,,,,,
cs0002711,,,,,,,,,,,,,,,,,,
cs0002263,0.691283,0.056642,0.048588,0.069555,0.183784,0.147961,0.783351,0.002005,0.002481,0.001014,0.400745,0.001182,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs00058,,,,,,,,,,,,,,,,,,
cs0001725,0.924196,0.055797,0.009978,0.020276,0.650727,0.093161,0.924196,0.055797,0.009978,0.020276,0.650727,0.093161,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001951,,,,,,,,,,,,,,,,,,
cs000358,,,,,,,,,,,,,,,,,,
cs0002895,,,,,,,,,,,,,,,,,,
cs0001155,,,,,,,,,,,,,,,,,,
cs0001153,,,,,,,,,,,,,,,,,,
cs0001971,-0.320132,0.052707,0.415883,0.026327,0.586624,0.082931,0.989219,0.019052,0.002454,0.002756,0.064576,0.015769,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001281,-0.395719,0.07433,0.045459,0.081305,0.066105,0.436515,-0.395719,0.07433,0.045459,0.081305,0.066105,0.436515,-0.558461,0.092142,0.062727,0.09789,0.086589,0.463806
cs0002489,,,,,,,,,,,,,,,,,,
cs0003201,0.852253,0.07698,0.347697,0.022141,0.140594,0.139722,0.852253,0.07698,0.347697,0.022141,0.140594,0.139722,0.852253,0.07698,0.347697,0.022141,0.140594,0.139722
cs0001902,0.512345,0.281443,0.022575,0.071632,0.170431,0.464211,0.512345,0.281443,0.022575,0.071632,0.170431,0.464211,0.897205,0.220141,0.013891,0.057989,0.454361,0.261764
cs000514,,,,,,,,,,,,,,,,,,
cs0002333,,,,,,,,,,,,,,,,,,
cs000712,0.982723,0.03976,0.004194,0.000933,0.45828,0.014986,0.982723,0.03976,0.004194,0.000933,0.45828,0.014986,0.982723,0.03976,0.004194,0.000933,0.45828,0.014986
cs000743,,,,,,,,,,,,,,,,,,
cs0001625,,,,,,,,,,,,,,,,,,
cs000568,,,,,,,,,,,,,,,,,,
cs0003044,,,,,,,,,,,,,,,,,,
cs000698,,,,,,,,,,,,,,,,,,
cs000688,,,,,,,,,,,,,,,,,,
cs000908,,,,,,,,,,,,,,,,,,
cs0001053,,,,,,,,,,,,,,,,,,
cs0003186,0.790586,0.097245,0.058534,0.044996,0.581896,0.129954,0.790336,0.042043,0.023067,0.007147,0.137149,0.017529,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001515,,,,,,,,,,,,,,,,,,
cs0001997,0.97042,0.072214,0.046518,0.04809,0.143893,0.144117,0.97042,0.072214,0.046518,0.04809,0.143893,0.144117,0.97042,0.072214,0.046518,0.04809,0.143893,0.144117
cs000559,,,,,,,,,,,,,,,,,,
cs0001125,-0.84965,0.112997,0.011978,0.057261,0.026073,0.221927,-0.84965,0.112997,0.011978,0.057261,0.026073,0.221927,0,0.084303,0.00338,0.081386,0.032238,0.024425
cs0002124,,,,,,,,,,,,,,,,,,
cs0001920,,,,,,,,,,,,,,,,,,
cs000520,0.968925,0.02478,0.042301,0.029854,0.452777,0.092527,0.968925,0.02478,0.042301,0.029854,0.452777,0.092527,0.968925,0.02478,0.042301,0.029854,0.452777,0.092527
cs0001365,,,,,,,,,,,,,,,,,,
cs0001733,,,,,,,,,,,,,,,,,,
cs0001461,0.81944,0.400629,0.049259,0.041266,0.667331,0.118292,0.81944,0.400629,0.049259,0.041266,0.667331,0.118292,0,0.101023,0.080546,0.122028,0.383618,0.257835
cs0002027,,,,,,,,,,,,,,,,,,
cs0002990,,,,,,,,,,,,,,,,,,
cs0002673,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0002349,,,,,,,,,,,,,,,,,,
cs0002254,,,,,,,,,,,,,,,,,,
cs000562,-0.798442,0.073528,0.060206,0.115283,0.086949,0.521272,-0.867208,0.06452,0.05671,0.146858,0.094824,0.552007,0,0.03187,0.026568,0.020857,0.07802,0.011628
cs0001626,0.991463,0.045828,0.017197,0.005003,0.145996,0.002232,0.991463,0.045828,0.017197,0.005003,0.145996,0.002232,0.991463,0.045828,0.017197,0.005003,0.145996,0.002232
cs0001149,0.626506,0.084626,0.010127,0.043205,0.115381,0.116076,0.626506,0.084626,0.010127,0.043205,0.115381,0.116076,0,0.084303,0.00338,0.081386,0.032238,0.024425
cs0002775,0.573405,0.05112,0.0286,0.031758,0.139567,0.510741,0.573405,0.004177,0.000795,0.000695,0.034132,0.018424,0.972627,0.068754,0.01894,0.005129,0.136101,0.05066
cs000108,,,,,,,,,,,,,,,,,,
cs0001493,,,,,,,,,,,,,,,,,,
cs0003085,0.83479,0.025587,0.032456,0.038313,0.501592,0.110189,0.83479,0.025587,0.032456,0.038313,0.501592,0.110189,0.83479,0.025587,0.032456,0.038313,0.501592,0.110189
cs0001051,0.620728,0.058661,0.033046,0.049655,0.655289,0.10594,0.665196,0.048486,0.035708,0.04798,0.685691,0.106803,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001062,-0.793593,0.421005,0.16487,0.094641,0.048441,0.573586,-0.726903,0.430119,0.165095,0.071342,0.041332,0.528979,-0.876103,0.261913,0.170948,0.033912,0.009963,0.131167
cs0001966,,,,,,,,,,,,,,,,,,
cs0001382,-0.913331,0.555099,0.059461,0.045128,0.097745,0.570978,-0.955352,0.831561,0.003052,0.019847,0.024399,0.112088,0,0.024901,0.017616,0.018812,0.075536,0.053893
cs000540,-0.304071,0.090715,0.033799,0.083607,0.527703,0.512118,0.961031,0.059501,0.003253,0.014092,0.569788,0.004616,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs000776,0,0.040152,0.016146,0.022266,0.060467,0.05126,0,0.040152,0.016146,0.022266,0.060467,0.05126,0,0.015975,0.012232,0.01591,0.163831,0.012742
cs0002447,0.51976,0.294478,0.01072,0.029097,0.407241,0.040285,0.51976,0.294478,0.01072,0.029097,0.407241,0.040285,0.51976,0.294478,0.01072,0.029097,0.407241,0.040285
cs000396,,,,,,,,,,,,,,,,,,
cs0001798,,,,,,,,,,,,,,,,,,
cs000238,,,,,,,,,,,,,,,,,,
cs0003124,0.321462,0.027746,0.010403,0.108031,0.043373,0.080148,0.321462,0.027746,0.010403,0.108031,0.043373,0.080148,0,0.029579,0.019576,0.325795,0.03931,0.259253
cs0002450,0,0.177949,0.204631,0.012261,0.397455,0.194918,0,0.177949,0.204631,0.012261,0.397455,0.194918,0,0.015142,0.34413,0.010329,0.613634,0.003429
cs0003217,,,,,,,,,,,,,,,,,,
cs0002646,,,,,,,,,,,,,,,,,,
cs0002299,,,,,,,,,,,,,,,,,,
cs000849,,,,,,,,,,,,,,,,,,
cs0001512,0.814186,0.067013,0.011176,0.055985,0.056346,0.762473,0.814186,0.067013,0.011176,0.055985,0.056346,0.762473,0.814186,0.067013,0.011176,0.055985,0.056346,0.762473
cs000518,-0.267234,0.052796,0.055337,0.105263,0.678284,0.5419,-0.282034,0.070412,0.086638,0.422608,0.179204,0.219912,-0.855634,0.092652,0.086651,0.073466,0.113761,0.55899
cs0001470,0.293045,0.105295,0.050319,0.06044,0.1293,0.493961,-0.313973,0.468985,0.031817,0.057471,0.644756,0.208878,0.590001,0.079097,0.003753,0.009765,0.023204,0.145909
cs000538,,,,,,,,,,,,,,,,,,
cs0001333,,,,,,,,,,,,,,,,,,
cs000956,,,,,,,,,,,,,,,,,,
cs0001581,,,,,,,,,,,,,,,,,,
cs000533,,,,,,,,,,,,,,,,,,
cs0002631,0.70776,0.042031,0.02526,0.036471,0.178083,0.109509,0.70776,0.042031,0.02526,0.036471,0.178083,0.109509,0,0.101023,0.080546,0.122028,0.383618,0.257835
cs0001986,,,,,,,,,,,,,,,,,,
cs0002372,,,,,,,,,,,,,,,,,,
cs000720,,,,,,,,,,,,,,,,,,
cs0001293,,,,,,,,,,,,,,,,,,
cs0003213,,,,,,,,,,,,,,,,,,
cs000136,0,0.135684,0.119889,0.070297,0.131533,0.47023,0,0.135684,0.119889,0.070297,0.131533,0.47023,0,0.135684,0.119889,0.070297,0.131533,0.47023
cs0003020,-0.483141,0.095172,0.108606,0.095466,0.143686,0.549574,0,0.100227,0.005844,0.148067,0.03878,0.14451,0,0.084303,0.00338,0.081386,0.032238,0.024425
cs000836,,,,,,,,,,,,,,,,,,
cs0001747,0.36189,0.083871,0.050478,0.079364,0.604128,0.176209,0.36189,0.083871,0.050478,0.079364,0.604128,0.176209,0.532579,0.059248,0.007386,0.016378,0.3219,0.062578
cs0002322,,,,,,,,,,,,,,,,,,
cs0001329,0,0.021177,0.007079,0.007575,0.04557,0.039083,0,0.021177,0.007079,0.007575,0.04557,0.039083,0,0.015884,0.017077,0.013347,0.116912,0.034317
cs0001513,,,,,,,,,,,,,,,,,,
cs0002198,,,,,,,,,,,,,,,,,,
cs000543,0.276354,0.094762,0.053087,0.077981,0.584991,0.488182,0.276354,0.094762,0.053087,0.077981,0.584991,0.488182,0.276354,0.094762,0.053087,0.077981,0.584991,0.488182
cs000664,,,,,,,,,,,,,,,,,,
cs0002903,,,,,,,,,,,,,,,,,,
cs000215,,,,,,,,,,,,,,,,,,
cs0002484,,,,,,,,,,,,,,,,,,
cs0001477,,,,,,,,,,,,,,,,,,
